DISTRICT,ADDRESS,CITY,STATE,ZIP,WEBSITE,Latitude,Longitude
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,http://home.chicagopolice.org,41.83070169,-87.62339535
18,1160 N Larrabee St,Chicago,IL,60610,http://home.chicagopolice.org/community/districts/18th-district-near-north/,41.90324165,-87.64335214
19,850 W Addison St,Chicago,IL,60613,http://home.chicagopolice.org/community/districts/19th-district-town-hall/,41.94740046,-87.65151202
20,5400 N Lincoln Ave,Chicago,IL,60625,http://home.chicagopolice.org/community/districts/20th-district-lincoln/,41.97954951,-87.69284451
22,1900 W Monterey Ave,Chicago,IL,60643,http://home.chicagopolice.org/community/districts/22nd-district-morgan-park/,41.69143478,-87.66852039
24,6464 N Clark St,Chicago,IL,60626,http://home.chicagopolice.org/community/districts/24th-district-rogers-park/,41.99976348,-87.67132429
25,5555 W Grand Ave,Chicago,IL,60639,http://home.chicagopolice.org/community/districts/25th-district-grand-central/,41.91860889,-87.76557448
1,1718 S State St,Chicago,IL,60616,http://home.chicagopolice.org/community/districts/1st-district-central/,41.85837259,-87.62735617
2,5101 S Wentworth Ave,Chicago,IL,60609,http://home.chicagopolice.org/community/districts/2nd-district-wentworth/,41.80181109,-87.63056018
3,7040 S Cottage Grove Ave,Chicago,IL,60637,http://home.chicagopolice.org/community/districts/3rd-district-grand-crossing/,41.76643089,-87.60574786
4,2255 E 103rd St,Chicago,IL,60617,http://home.chicagopolice.org/community/districts/4th-district-south-chicago/,41.70793329,-87.56834912
5,727 E 111th St,Chicago,IL,60628,http://home.chicagopolice.org/community/districts/5th-district-calumet/,41.69272336,-87.60450587
6,7808 S Halsted St,Chicago,IL,60620,http://home.chicagopolice.org/community/districts/6th-district-gresham/,41.75213684,-87.64422891
7,1438 W 63rd St,Chicago,IL,60636,http://home.chicagopolice.org/community/districts/7th-district-englewood/,41.77963154,-87.66088702
8,3420 W 63rd St,Chicago,IL,60629,http://home.chicagopolice.org/community/districts/8th-district-chicago-lawn/,41.77898719,-87.70886382
9,3120 S Halsted St,Chicago,IL,60608,http://home.chicagopolice.org/community/districts/9th-district-deering/,41.83739443,-87.64640771
10,3315 W Ogden Ave,Chicago,IL,60623,http://home.chicagopolice.org/community/districts/10th-district-ogden/,41.85668453,-87.70838196
11,3151 W Harrison St,Chicago,IL,60612,http://home.chicagopolice.org/community/districts/11th-district-harrison/,41.87358229,-87.70548813
12,"1412 S Blue Island Ave
",Chicago,IL,60608,http://home.chicagopolice.org/community/districts/12th-district-near-west/,41.86297662,-87.65697251
14,2150 N California Ave,Chicago,IL,60647,http://home.chicagopolice.org/community/districts/14th-district-shakespeare/,41.92110332,-87.69745182
15,5701 W Madison St,Chicago,IL,60644,http://home.chicagopolice.org/community/districts/15th-district-austin/,41.88008346,-87.76819989
16,5151 N Milwaukee Ave,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/16th-district-jefferson-park/,41.97409445,-87.76614884
17,4650 N Pulaski Rd,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/17th-district-albany-park/,41.96605342,-87.72811456
